source_id,source_kind,relationship_kind,target_id,target_kind
5955030031203507303,Definition,CALLS,2608359233303868890,ImportedSymbol
5277624557425123493,Definition,CALLS,8545588748503742319,ImportedSymbol
5277624557425123493,Definition,CALLS,4089323045860348196,ImportedSymbol
8253807830376486381,Definition,CALLS,1430446174099209787,ImportedSymbol
4426167067005806000,Definition,CALLS,6103701649105851017,ImportedSymbol
4864128303764004800,Definition,CALLS,6828829225901272038,ImportedSymbol
4864128303764004800,Definition,CALLS,316914535489121055,ImportedSymbol
5563979799679736981,Definition,CALLS,7061981242399825752,ImportedSymbol
5563979799679736981,Definition,CALLS,8481196763078078482,ImportedSymbol
6661949984344862446,Definition,CALLS,8481196763078078482,ImportedSymbol
6661949984344862446,Definition,CALLS,7061981242399825752,ImportedSymbol
2118797803055715033,Definition,CALLS,132659293578968746,ImportedSymbol
3552715490817611153,Definition,CALLS,8506476822610287342,ImportedSymbol
6859216865133875861,Definition,CALLS,4314986834880175756,ImportedSymbol
8471240115619468328,Definition,CALLS,4092365500874378659,ImportedSymbol
1780799417388543906,Definition,CALLS,4092365500874378659,ImportedSymbol
7483697689796864172,Definition,CALLS,4092365500874378659,ImportedSymbol
1139221240120664683,Definition,CALLS,4092365500874378659,ImportedSymbol
3830025592742277214,Definition,CALLS,4092365500874378659,ImportedSymbol
9065988799850895260,Definition,CALLS,4314986834880175756,ImportedSymbol
8784462313559349017,Definition,CALLS,4092365500874378659,ImportedSymbol
6532570479740606375,Definition,CALLS,4092365500874378659,ImportedSymbol
5870345008822695711,Definition,CALLS,4092365500874378659,ImportedSymbol
1796779127474932566,Definition,CALLS,4092365500874378659,ImportedSymbol
7588691507531355333,Definition,CALLS,4092365500874378659,ImportedSymbol
5134329000890034036,Definition,CALLS,5752056415890366447,ImportedSymbol
7984010746485397623,Definition,CALLS,5752056415890366447,ImportedSymbol
1155643099179643194,Definition,CALLS,5752056415890366447,ImportedSymbol
8155455061164093560,Definition,CALLS,5752056415890366447,ImportedSymbol
1019089734922737308,File,CALLS,4366699392924165412,Definition
1019089734922737308,File,CALLS,1786631309914082706,Definition
1019089734922737308,File,CALLS,2454551220365021568,Definition
1019089734922737308,File,CALLS,686772421409423676,Definition
1019089734922737308,File,CALLS,740980856069008026,Definition
2767106417167452506,File,CALLS,4426167067005806000,Definition
967565579975276091,File,CALLS,4864128303764004800,Definition
6220386417187616354,File,CALLS,3552715490817611153,Definition
1019089734922737308,File,CALLS,6964329976765588514,ImportedSymbol
1019089734922737308,File,CALLS,3145962868657560243,ImportedSymbol
1019089734922737308,File,CALLS,3051174422042509212,ImportedSymbol
1019089734922737308,File,CALLS,23739843420901422,ImportedSymbol
3098854353406721933,File,CALLS,266019571386462641,ImportedSymbol
2295894010172714336,File,CALLS,3906726274972931822,ImportedSymbol
2295894010172714336,File,CALLS,2453846093433599683,ImportedSymbol
2767106417167452506,File,CALLS,4545393544769641563,ImportedSymbol
2767106417167452506,File,CALLS,6103701649105851017,ImportedSymbol
967565579975276091,File,CALLS,5602361972878079694,ImportedSymbol
967565579975276091,File,CALLS,6828829225901272038,ImportedSymbol
6220386417187616354,File,CALLS,8844849706286187819,ImportedSymbol
2835942179371534084,File,CALLS,6489641532647127740,ImportedSymbol
2835942179371534084,File,CALLS,1660013931143470960,ImportedSymbol
2835942179371534084,File,CALLS,4550626429671409030,ImportedSymbol
660817084392909288,File,CALLS,5838706643942882355,ImportedSymbol
1475930875172129939,File,CALLS,4071817442390247025,ImportedSymbol
1475930875172129939,File,CALLS,7139906561654836538,ImportedSymbol
